"unitid","institution name","year","C2010_A.First or Second Major","C2010_A.CIP Code -  2010 Classification","CipTitle","C2010_A.Award Level code","C2010_A_RV.Grand total","C2010_A_RV.Grand total men","C2010_A_RV.Grand total women","C2010_A_RV.American Indian or Alaska Native total - derived","C2010_A_RV.American Indian or Alaska Native men - derived","C2010_A_RV.American Indian or Alaska Native women - derived","C2010_A_RV.Asian/Native Hawaiian/Other Pacific Islander total - derived","C2010_A_RV.Asian/Native Hawaiian/Other Pacific Islander men - derived","C2010_A_RV.Asian/Native Hawaiian/Other Pacific Islander women - derived","C2010_A_RV.Black or African American/Black non-Hispanic total - derived","C2010_A_RV.Black or African American/Black non-Hispanic men - derived","C2010_A_RV.Black or African American/Black non-Hispanic women - derived","C2010_A_RV.Hispanic or Latino/Hispanic total - derived","C2010_A_RV.Hispanic or Latino/Hispanic men - derived","C2010_A_RV.Hispanic or Latino/Hispanic women - derived","C2010_A_RV.White/White non-Hispanic total - derived","C2010_A_RV.White/White non-Hispanic men - derived","C2010_A_RV.White/White non-Hispanic women - derived","C2010_A_RV.American Indian or Alaska Native total - new","C2010_A_RV.American Indian or Alaska Native men - new","C2010_A_RV.American Indian or Alaska Native women - new","C2010_A_RV.Asian total - new","C2010_A_RV.Asian men - new","C2010_A_RV.Asian women - new","C2010_A_RV.Black or African American total - new","C2010_A_RV.Black or African American men - new","C2010_A_RV.Black or African American women - new","C2010_A_RV.Hispanic or Latino total - new","C2010_A_RV.Hispanic or Latino men - new","C2010_A_RV.Hispanic or Latino women - new","C2010_A_RV.Native Hawaiian or Other Pacific Islander total - new","C2010_A_RV.Native Hawaiian or Other Pacific Islander men - new","C2010_A_RV.Native Hawaiian or Other Pacific Islander women - new","C2010_A_RV.White total - new","C2010_A_RV.White men - new","C2010_A_RV.White women - new","C2010_A_RV.Two or more races total - new","C2010_A_RV.Two or more races men - new","C2010_A_RV.Two or more races women - new","C2010_A_RV.American Indian or Alaska Native total - old","C2010_A_RV.American Indian or Alaska Native men - old","C2010_A_RV.American Indian or Alaska Native women - old","C2010_A_RV.Asian or Pacific Islander total - old","C2010_A_RV.Asian or Pacific Islander men - old","C2010_A_RV.Asian or Pacific Islander women - old","C2010_A_RV.Black non-Hispanic  total - old","C2010_A_RV.Black non-Hispanic men - old","C2010_A_RV.Black non-Hispanic women - old","C2010_A_RV.Hispanic total - old","C2010_A_RV.Hispanic men - old","C2010_A_RV.Hispanic women - old","C2010_A_RV.White non-Hispanic total - old","C2010_A_RV.White non-Hispanic men - old","C2010_A_RV.White non-Hispanic women - old","C2010_A_RV.Race/ethnicity unknown total","C2010_A_RV.Race/ethnicity unknown men","C2010_A_RV.Race/ethnicity unknown women","C2010_A_RV.Nonresident alien total","C2010_A_RV.Nonresident alien men","C2010_A_RV.Nonresident alien women","IDX_C"
"100654","Alabama A & M University","2010","First major","'40'","Physical Sciences","Bachelor's degree","14","5","9","0","0","0","0","0","0","12","4","8","0","0","0","1","1","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","12","4","8","0","0","0","1","1","0","0","0","0","1","0","1","-2"
"100654","Alabama A & M University","2010","First major","'40'","Physical Sciences","Master's degree","3","1","2","0","0","0","0","0","0","3","1","2","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2010","First major","'40'","Physical Sciences","Degrees total","21","6","15","0","0","0","0","0","0","17","5","12","0","0","0","2","1","1",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","17","5","12","0","0","0","2","1","1","0","0","0","2","0","2","-2"
"100654","Alabama A & M University","2010","First major","'40'","Physical Sciences","Degrees/certificates total","21","6","15","0","0","0","0","0","0","17","5","12","0","0","0","2","1","1",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","17","5","12","0","0","0","2","1","1","0","0","0","2","0","2","-2"
"100654","Alabama A & M University","2010","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship (new degree classification)","4","0","4","0","0","0","0","0","0","2","0","2","0","0","0","1","0","1",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","2","0","2","0","0","0","1","0","1","0","0","0","1","0","1","-2"
"100654","Alabama A & M University","2010","First major","'40.05'","Chemistry","Bachelor's degree","10","3","7","0","0","0","0","0","0","10","3","7","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","10","3","7","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2010","First major","'40.05'","Chemistry","Degrees total","10","3","7","0","0","0","0","0","0","10","3","7","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","10","3","7","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2010","First major","'40.05'","Chemistry","Degrees/certificates total","10","3","7","0","0","0","0","0","0","10","3","7","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","10","3","7","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2010","First major","'40.0501'","Chemistry, General","Bachelor's degree","10","3","7","0","0","0","0","0","0","10","3","7","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","10","3","7","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2010","First major","'40.0501'","Chemistry, General","Degrees total","10","3","7","0","0","0","0","0","0","10","3","7","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","10","3","7","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2010","First major","'40.0501'","Chemistry, General","Degrees/certificates total","10","3","7","0","0","0","0","0","0","10","3","7","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","10","3","7","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2010","First major","'40.08'","Physics","Bachelor's degree","4","2","2","0","0","0","0","0","0","2","1","1","0","0","0","1","1","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","2","1","1","0","0","0","1","1","0","0","0","0","1","0","1","-2"
"100654","Alabama A & M University","2010","First major","'40.08'","Physics","Master's degree","3","1","2","0","0","0","0","0","0","3","1","2","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2010","First major","'40.08'","Physics","Degrees total","11","3","8","0","0","0","0","0","0","7","2","5","0","0","0","2","1","1",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","7","2","5","0","0","0","2","1","1","0","0","0","2","0","2","-2"
"100654","Alabama A & M University","2010","First major","'40.08'","Physics","Degrees/certificates total","11","3","8","0","0","0","0","0","0","7","2","5","0","0","0","2","1","1",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","7","2","5","0","0","0","2","1","1","0","0","0","2","0","2","-2"
"100654","Alabama A & M University","2010","First major","'40.08'","Physics","Doctor's degree - research/scholarship (new degree classification)","4","0","4","0","0","0","0","0","0","2","0","2","0","0","0","1","0","1",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","2","0","2","0","0","0","1","0","1","0","0","0","1","0","1","-2"
"100654","Alabama A & M University","2010","First major","'40.0801'","Physics, General","Bachelor's degree","4","2","2","0","0","0","0","0","0","2","1","1","0","0","0","1","1","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","2","1","1","0","0","0","1","1","0","0","0","0","1","0","1","-2"
"100654","Alabama A & M University","2010","First major","'40.0801'","Physics, General","Master's degree","3","1","2","0","0","0","0","0","0","3","1","2","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2010","First major","'40.0801'","Physics, General","Degrees total","7","3","4","0","0","0","0","0","0","5","2","3","0","0","0","1","1","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","5","2","3","0","0","0","1","1","0","0","0","0","1","0","1","-2"
"100654","Alabama A & M University","2010","First major","'40.0801'","Physics, General","Degrees/certificates total","7","3","4","0","0","0","0","0","0","5","2","3","0","0","0","1","1","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","5","2","3","0","0","0","1","1","0","0","0","0","1","0","1","-2"
"100654","Alabama A & M University","2010","First major","'40.0899'","Physics, Other","Degrees total","4","0","4","0","0","0","0","0","0","2","0","2","0","0","0","1","0","1",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","2","0","2","0","0","0","1","0","1","0","0","0","1","0","1","-2"
"100654","Alabama A & M University","2010","First major","'40.0899'","Physics, Other","Degrees/certificates total","4","0","4","0","0","0","0","0","0","2","0","2","0","0","0","1","0","1",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","2","0","2","0","0","0","1","0","1","0","0","0","1","0","1","-2"
"100654","Alabama A & M University","2010","First major","'40.0899'","Physics, Other","Doctor's degree - research/scholarship (new degree classification)","4","0","4","0","0","0","0","0","0","2","0","2","0","0","0","1","0","1",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","2","0","2","0","0","0","1","0","1","0","0","0","1","0","1","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40'","Physical Sciences","Bachelor's degree","23","13","10","0","0","0","1","1","0","0","0","0","3","2","1","15","7","8","0","0","0","1","1","0","0","0","0","3","2","1","0","0","0","15","7","8","0","0","0",,,,,,,,,,,,,,,,"0","0","0","4","3","1","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40'","Physical Sciences","Master's degree","20","9","11","0","0","0","0","0","0","1","0","1","0","0","0","10","6","4","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","10","6","4","0","0","0",,,,,,,,,,,,,,,,"0","0","0","9","3","6","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40'","Physical Sciences","Degrees total","48","24","24","0","0","0","1","1","0","1","0","1","3","2","1","26","14","12","0","0","0","1","1","0","1","0","1","3","2","1","0","0","0","26","14","12","0","0","0",,,,,,,,,,,,,,,,"0","0","0","17","7","10","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40'","Physical Sciences","Degrees/certificates total","48","24","24","0","0","0","1","1","0","1","0","1","3","2","1","26","14","12","0","0","0","1","1","0","1","0","1","3","2","1","0","0","0","26","14","12","0","0","0",,,,,,,,,,,,,,,,"0","0","0","17","7","10","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship (new degree classification)","5","2","3","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0",,,,,,,,,,,,,,,,"0","0","0","4","1","3","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40.04'","Atmospheric Sciences and Meteorology","Master's degree","11","3","8","0","0","0","0","0","0","1","0","1","0","0","0","5","2","3","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","5","2","3","0","0","0",,,,,,,,,,,,,,,,"0","0","0","5","1","4","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40.04'","Atmospheric Sciences and Meteorology","Degrees total","16","5","11","0","0","0","0","0","0","1","0","1","0","0","0","6","3","3","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","3","3","0","0","0",,,,,,,,,,,,,,,,"0","0","0","9","2","7","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40.04'","Atmospheric Sciences and Meteorology","Degrees/certificates total","16","5","11","0","0","0","0","0","0","1","0","1","0","0","0","6","3","3","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","3","3","0","0","0",,,,,,,,,,,,,,,,"0","0","0","9","2","7","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40.04'","Atmospheric Sciences and Meteorology","Doctor's degree - research/scholarship (new degree classification)","5","2","3","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0",,,,,,,,,,,,,,,,"0","0","0","4","1","3","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40.0401'","Atmospheric Sciences and Meteorology, General","Master's degree","11","3","8","0","0","0","0","0","0","1","0","1","0","0","0","5","2","3","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","5","2","3","0","0","0",,,,,,,,,,,,,,,,"0","0","0","5","1","4","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40.0401'","Atmospheric Sciences and Meteorology, General","Degrees total","16","5","11","0","0","0","0","0","0","1","0","1","0","0","0","6","3","3","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","3","3","0","0","0",,,,,,,,,,,,,,,,"0","0","0","9","2","7","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40.0401'","Atmospheric Sciences and Meteorology, General","Degrees/certificates total","16","5","11","0","0","0","0","0","0","1","0","1","0","0","0","6","3","3","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","6","3","3","0","0","0",,,,,,,,,,,,,,,,"0","0","0","9","2","7","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40.0401'","Atmospheric Sciences and Meteorology, General","Doctor's degree - research/scholarship (new degree classification)","5","2","3","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0",,,,,,,,,,,,,,,,"0","0","0","4","1","3","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40.05'","Chemistry","Bachelor's degree","8","4","4","0","0","0","0","0","0","0","0","0","2","1","1","6","3","3","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","6","3","3","0","0","0",,,,,,,,,,,,,,,,"0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40.05'","Chemistry","Master's degree","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0",,,,,,,,,,,,,,,,"0","0","0","1","1","0","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40.05'","Chemistry","Degrees total","10","5","5","0","0","0","0","0","0","0","0","0","2","1","1","7","3","4","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","7","3","4","0","0","0",,,,,,,,,,,,,,,,"0","0","0","1","1","0","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40.05'","Chemistry","Degrees/certificates total","10","5","5","0","0","0","0","0","0","0","0","0","2","1","1","7","3","4","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","7","3","4","0","0","0",,,,,,,,,,,,,,,,"0","0","0","1","1","0","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40.0501'","Chemistry, General","Bachelor's degree","8","4","4","0","0","0","0","0","0","0","0","0","2","1","1","6","3","3","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","6","3","3","0","0","0",,,,,,,,,,,,,,,,"0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40.0501'","Chemistry, General","Master's degree","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0",,,,,,,,,,,,,,,,"0","0","0","1","1","0","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40.0501'","Chemistry, General","Degrees total","10","5","5","0","0","0","0","0","0","0","0","0","2","1","1","7","3","4","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","7","3","4","0","0","0",,,,,,,,,,,,,,,,"0","0","0","1","1","0","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40.0501'","Chemistry, General","Degrees/certificates total","10","5","5","0","0","0","0","0","0","0","0","0","2","1","1","7","3","4","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","7","3","4","0","0","0",,,,,,,,,,,,,,,,"0","0","0","1","1","0","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40.08'","Physics","Bachelor's degree","13","8","5","0","0","0","1","1","0","0","0","0","1","1","0","7","3","4","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","7","3","4","0","0","0",,,,,,,,,,,,,,,,"0","0","0","4","3","1","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40.08'","Physics","Master's degree","7","5","2","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0",,,,,,,,,,,,,,,,"0","0","0","3","1","2","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40.08'","Physics","Degrees total","20","13","7","0","0","0","1","1","0","0","0","0","1","1","0","11","7","4","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","11","7","4","0","0","0",,,,,,,,,,,,,,,,"0","0","0","7","4","3","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40.08'","Physics","Degrees/certificates total","20","13","7","0","0","0","1","1","0","0","0","0","1","1","0","11","7","4","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","11","7","4","0","0","0",,,,,,,,,,,,,,,,"0","0","0","7","4","3","-2"
"100706","University of Alabama in Huntsville","2010","First major","'40.08'","Physics","Doctor's degree - research/scholarship (new degree classification)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,"0","0","0","0","0","0","-2"
