"unitid","institution name","year","C2015_A.First or Second Major","C2015_A.CIP Code -  2010 Classification","CipTitle","C2015_A.Award Level code","C2015_A_RV.Grand total","C2015_A_RV.Grand total men","C2015_A_RV.Grand total women","C2015_A_RV.American Indian or Alaska Native total","C2015_A_RV.American Indian or Alaska Native men","C2015_A_RV.American Indian or Alaska Native women","C2015_A_RV.Asian total","C2015_A_RV.Asian men","C2015_A_RV.Asian women","C2015_A_RV.Black or African American total","C2015_A_RV.Black or African American men","C2015_A_RV.Black or African American women","C2015_A_RV.Hispanic or Latino total","C2015_A_RV.Hispanic or Latino men","C2015_A_RV.Hispanic or Latino women","C2015_A_RV.Native Hawaiian or Other Pacific Islander total","C2015_A_RV.Native Hawaiian or Other Pacific Islander men","C2015_A_RV.Native Hawaiian or Other Pacific Islander women","C2015_A_RV.White total","C2015_A_RV.White men","C2015_A_RV.White women","C2015_A_RV.Two or more races total","C2015_A_RV.Two or more races men","C2015_A_RV.Two or more races women","C2015_A_RV.Race/ethnicity unknown total","C2015_A_RV.Race/ethnicity unknown men","C2015_A_RV.Race/ethnicity unknown women","C2015_A_RV.Nonresident alien total","C2015_A_RV.Nonresident alien men","C2015_A_RV.Nonresident alien women","IDX_C"
"100654","Alabama A & M University","2015","First major","'40'","Physical Sciences","Bachelor's degree","8","2","6","0","0","0","0","0","0","7","1","6","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2015","First major","'40'","Physical Sciences","Master's degree","4","4","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","-2"
"100654","Alabama A & M University","2015","First major","'40'","Physical Sciences","Degrees total","13","6","7","0","0","0","0","0","0","10","3","7","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","2","2","0","-2"
"100654","Alabama A & M University","2015","First major","'40'","Physical Sciences","Degrees/certificates total","13","6","7","0","0","0","0","0","0","10","3","7","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","2","2","0","-2"
"100654","Alabama A & M University","2015","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2015","First major","'40.05'","Chemistry","Bachelor's degree","6","1","5","0","0","0","0","0","0","6","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2015","First major","'40.05'","Chemistry","Degrees total","6","1","5","0","0","0","0","0","0","6","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2015","First major","'40.05'","Chemistry","Degrees/certificates total","6","1","5","0","0","0","0","0","0","6","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2015","First major","'40.0501'","Chemistry, General","Bachelor's degree","6","1","5","0","0","0","0","0","0","6","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2015","First major","'40.0501'","Chemistry, General","Degrees total","6","1","5","0","0","0","0","0","0","6","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
