"unitid","institution name","year","C2019_A.First or Second Major","C2019_A.CIP Code -  2010 Classification","CipTitle","C2019_A.Award Level code","C2019_A.Grand total","C2019_A.Grand total men","C2019_A.Grand total women","C2019_A.American Indian or Alaska Native total","C2019_A.American Indian or Alaska Native men","C2019_A.American Indian or Alaska Native women","C2019_A.Asian total","C2019_A.Asian men","C2019_A.Asian women","C2019_A.Black or African American total","C2019_A.Black or African American men","C2019_A.Black or African American women","C2019_A.Hispanic or Latino total","C2019_A.Hispanic or Latino men","C2019_A.Hispanic or Latino women","C2019_A.Native Hawaiian or Other Pacific Islander total","C2019_A.Native Hawaiian or Other Pacific Islander men","C2019_A.Native Hawaiian or Other Pacific Islander women","C2019_A.White total","C2019_A.White men","C2019_A.White women","C2019_A.Two or more races total","C2019_A.Two or more races men","C2019_A.Two or more races women","C2019_A.Race/ethnicity unknown total","C2019_A.Race/ethnicity unknown men","C2019_A.Race/ethnicity unknown women","C2019_A.Nonresident alien total","C2019_A.Nonresident alien men","C2019_A.Nonresident alien women","IDX_C"
"100654","Alabama A & M University","2019","First major","'40'","Physical Sciences","Bachelor's degree","12","4","8","0","0","0","0","0","0","10","3","7","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","-2"
"100654","Alabama A & M University","2019","First major","'40'","Physical Sciences","Master's degree","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2019","First major","'40'","Physical Sciences","Degrees total","13","5","8","1","1","0","0","0","0","10","3","7","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","-2"
"100654","Alabama A & M University","2019","First major","'40'","Physical Sciences","Degrees/certificates total","13","5","8","1","1","0","0","0","0","10","3","7","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","-2"
"100654","Alabama A & M University","2019","First major","'40.05'","Chemistry","Bachelor's degree","8","2","6","0","0","0","0","0","0","7","2","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","-2"
"100654","Alabama A & M University","2019","First major","'40.05'","Chemistry","Degrees total","8","2","6","0","0","0","0","0","0","7","2","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","-2"
"100654","Alabama A & M University","2019","First major","'40.05'","Chemistry","Degrees/certificates total","8","2","6","0","0","0","0","0","0","7","2","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","-2"
"100654","Alabama A & M University","2019","First major","'40.0501'","Chemistry, General","Bachelor's degree","8","2","6","0","0","0","0","0","0","7","2","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","-2"
"100654","Alabama A & M University","2019","First major","'40.0501'","Chemistry, General","Degrees total","8","2","6","0","0","0","0","0","0","7","2","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","-2"
"100654","Alabama A & M University","2019","First major","'40.0501'","Chemistry, General","Degrees/certificates total","8","2","6","0","0","0","0","0","0","7","2","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","-2"
"100654","Alabama A & M University","2019","First major","'40.08'","Physics","Bachelor's degree","4","2","2","0","0","0","0","0","0","3","1","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2019","First major","'40.08'","Physics","Master's degree","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2019","First major","'40.08'","Physics","Degrees total","5","3","2","1","1","0","0","0","0","3","1","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2019","First major","'40.08'","Physics","Degrees/certificates total","5","3","2","1","1","0","0","0","0","3","1","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
