"unitid","institution name","year","C2020_A.First or Second Major","C2020_A.CIP Code -  2020 Classification","CipTitle","C2020_A.Award Level code","C2020_A.Grand total","C2020_A.Grand total men","C2020_A.Grand total women","C2020_A.American Indian or Alaska Native total","C2020_A.American Indian or Alaska Native men","C2020_A.American Indian or Alaska Native women","C2020_A.Asian total","C2020_A.Asian men","C2020_A.Asian women","C2020_A.Black or African American total","C2020_A.Black or African American men","C2020_A.Black or African American women","C2020_A.Hispanic or Latino total","C2020_A.Hispanic or Latino men","C2020_A.Hispanic or Latino women","C2020_A.Native Hawaiian or Other Pacific Islander total","C2020_A.Native Hawaiian or Other Pacific Islander men","C2020_A.Native Hawaiian or Other Pacific Islander women","C2020_A.White total","C2020_A.White men","C2020_A.White women","C2020_A.Two or more races total","C2020_A.Two or more races men","C2020_A.Two or more races women","C2020_A.Race/ethnicity unknown total","C2020_A.Race/ethnicity unknown men","C2020_A.Race/ethnicity unknown women","C2020_A.Nonresident alien total","C2020_A.Nonresident alien men","C2020_A.Nonresident alien women","IDX_C"
"110097","Biola University","2020","First major","'40'","Physical Sciences","Bachelor's degree","4","1","3","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","2","1","1","0","0","0","0","0","0","1","0","1","-2"
"110097","Biola University","2020","First major","'40'","Physical Sciences","Degrees total","4","1","3","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","2","1","1","0","0","0","0","0","0","1","0","1","-2"
"110097","Biola University","2020","First major","'40'","Physical Sciences","Degrees/certificates total","4","1","3","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","2","1","1","0","0","0","0","0","0","1","0","1","-2"
"110097","Biola University","2020","First major","'40.01'","Physical Sciences, General","Bachelor's degree","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"110097","Biola University","2020","First major","'40.01'","Physical Sciences, General","Degrees total","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"110097","Biola University","2020","First major","'40.01'","Physical Sciences, General","Degrees/certificates total","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"110097","Biola University","2020","First major","'40.0101'","Physical Sciences, General","Bachelor's degree","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"110097","Biola University","2020","First major","'40.0101'","Physical Sciences, General","Degrees total","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"110097","Biola University","2020","First major","'40.0101'","Physical Sciences, General","Degrees/certificates total","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"110097","Biola University","2020","First major","'40.05'","Chemistry","Bachelor's degree","2","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","-2"
"110097","Biola University","2020","First major","'40.05'","Chemistry","Degrees total","2","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","-2"
"110097","Biola University","2020","First major","'40.05'","Chemistry","Degrees/certificates total","2","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","-2"
"110097","Biola University","2020","First major","'40.0501'","Chemistry, General","Bachelor's degree","2","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","-2"
"110097","Biola University","2020","First major","'40.0501'","Chemistry, General","Degrees total","2","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","-2"
"110097","Biola University","2020","First major","'40.0501'","Chemistry, General","Degrees/certificates total","2","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","-2"
"110097","Biola University","2020","First major","'40.08'","Physics","Bachelor's degree","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","-2"
"110097","Biola University","2020","First major","'40.08'","Physics","Degrees total","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","-2"
"110097","Biola University","2020","First major","'40.08'","Physics","Degrees/certificates total","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","-2"
"110097","Biola University","2020","First major","'40.0801'","Physics, General","Bachelor's degree","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","-2"
"110097","Biola University","2020","First major","'40.0801'","Physics, General","Degrees total","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","-2"
"110097","Biola University","2020","First major","'40.0801'","Physics, General","Degrees/certificates total","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","First major","'40'","Physical Sciences","Bachelor's degree","97","56","41","1","1","0","12","8","4","0","0","0","14","7","7","0","0","0","61","35","26","2","0","2","4","3","1","3","2","1","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","First major","'40'","Physical Sciences","Master's degree","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","First major","'40'","Physical Sciences","Degrees total","98","57","41","1","1","0","12","8","4","0","0","0","14","7","7","0","0","0","61","35","26","2","0","2","4","3","1","4","3","1","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","First major","'40'","Physical Sciences","Degrees/certificates total","98","57","41","1","1","0","12","8","4","0","0","0","14","7","7","0","0","0","61","35","26","2","0","2","4","3","1","4","3","1","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","First major","'40.05'","Chemistry","Bachelor's degree","26","12","14","0","0","0","3","2","1","0","0","0","4","2","2","0","0","0","16","6","10","0","0","0","1","0","1","2","2","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","First major","'40.05'","Chemistry","Master's degree","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","First major","'40.05'","Chemistry","Degrees total","27","13","14","0","0","0","3","2","1","0","0","0","4","2","2","0","0","0","16","6","10","0","0","0","1","0","1","3","3","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","First major","'40.05'","Chemistry","Degrees/certificates total","27","13","14","0","0","0","3","2","1","0","0","0","4","2","2","0","0","0","16","6","10","0","0","0","1","0","1","3","3","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","First major","'40.0501'","Chemistry, General","Bachelor's degree","26","12","14","0","0","0","3","2","1","0","0","0","4","2","2","0","0","0","16","6","10","0","0","0","1","0","1","2","2","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","First major","'40.0501'","Chemistry, General","Degrees total","26","12","14","0","0","0","3","2","1","0","0","0","4","2","2","0","0","0","16","6","10","0","0","0","1","0","1","2","2","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","First major","'40.0501'","Chemistry, General","Degrees/certificates total","26","12","14","0","0","0","3","2","1","0","0","0","4","2","2","0","0","0","16","6","10","0","0","0","1","0","1","2","2","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","First major","'40.0507'","Polymer Chemistry","Master's degree","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","First major","'40.0507'","Polymer Chemistry","Degrees total","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","First major","'40.0507'","Polymer Chemistry","Degrees/certificates total","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","First major","'40.06'","Geological and Earth Sciences/Geosciences","Bachelor's degree","37","20","17","1","1","0","4","2","2","0","0","0","2","0","2","0","0","0","26","16","10","2","0","2","1","1","0","1","0","1","-2"
