"unitid","institution name","year","S2010_F.Tenure status and academic rank of full-time instruction/research/public service staff","S2010_F_RV.Grand total","S2010_F_RV.Grand total men","S2010_F_RV.Grand total women","S2010_F_RV.American Indian or Alaska Native total","S2010_F_RV.American Indian or Alaska Native men","S2010_F_RV.American Indian or Alaska Native women","S2010_F_RV.Asian total","S2010_F_RV.Asian men","S2010_F_RV.Asian women","S2010_F_RV.Black or African American total","S2010_F_RV.Black or African American men","S2010_F_RV.Black or African American women","S2010_F_RV.Hispanic or Latino total","S2010_F_RV.Hispanic or Latino men","S2010_F_RV.Hispanic or Latino women","S2010_F_RV.Native Hawaiian or Other Pacific Islander total","S2010_F_RV.Native Hawaiian or Other Pacific Islander men","S2010_F_RV.Native Hawaiian or Other Pacific Islander women","S2010_F_RV.White total","S2010_F_RV.White men","S2010_F_RV.White women","S2010_F_RV.Two or more races total","S2010_F_RV.Two or more races men","S2010_F_RV.Two or more races women","S2010_F_RV.Race/ethnicity unknown total","S2010_F_RV.Race/ethnicity unknown men","S2010_F_RV.Race/ethnicity unknown women","S2010_F_RV.Nonresident alien total","S2010_F_RV.Nonresident alien men","S2010_F_RV.Nonresident alien women","IDX_HR"
"110422","California Polytechnic State University-San Luis Obispo","2010","Total full-time Instruction/research/public service, Tenured, Professors","267","210","57","0","0","0","20","18","2","4","4","0","16","12","4","1","1","0","209","159","50","3","3","0","14","13","1","0","0","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2010","Total full-time Instruction/research/public service, Tenured, Associate professors","138","101","37","0","0","0","14","10","4","2","1","1","11","7","4","0","0","0","98","73","25","3","2","1","9","7","2","1","1","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2010","Total full-time Instruction/research/public service, Tenured, No academic rank","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","1","1","0","0","0","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2010","Total full-time Instruction/research/public service, Tenured total","409","315","94","0","0","0","34","28","6","6","5","1","27","19","8","1","1","0","310","235","75","6","5","1","24","21","3","1","1","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2010","Total full-time Instruction/research/public service, Non-tenured on tenure track, Professors","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2010","Total full-time Instruction/research/public service, Non-tenured on tenure track, Associate professors","29","21","8","0","0","0","5","3","2","2","1","1","1","1","0","0","0","0","19","14","5","0","0","0","0","0","0","2","2","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2010","Total full-time Instruction/research/public service, Non-tenured on tenure track, Assistant professors","166","93","73","2","1","1","7","1","6","3","1","2","10","8","2","0","0","0","125","71","54","2","2","0","6","3","3","11","6","5","-2"
"110422","California Polytechnic State University-San Luis Obispo","2010","Total full-time Instruction/research/public service, Non-tenured on tenure track total","196","114","82","2","1","1","12","4","8","5","2","3","11","9","2","0","0","0","145","85","60","2","2","0","6","3","3","13","8","5","-2"
"110422","California Polytechnic State University-San Luis Obispo","2010","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Lecturers","121","69","52","0","0","0","3","2","1","1","1","0","6","5","1","0","0","0","105","59","46","1","1","0","4","1","3","1","0","1","-2"
"110422","California Polytechnic State University-San Luis Obispo","2010","Total full-time Instruction/research/public service, Non-tenured not on tenure track total","121","69","52","0","0","0","3","2","1","1","1","0","6","5","1","0","0","0","105","59","46","1","1","0","4","1","3","1","0","1","-2"
"111188","California State University Maritime Academy","2010","Total full-time Instruction/research/public service, Tenured, Professors","16","11","5","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","15","11","4","0","0","0","0","0","0","0","0","0","-2"
"111188","California State University Maritime Academy","2010","Total full-time Instruction/research/public service, Tenured, Associate professors","5","5","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","-2"
"111188","California State University Maritime Academy","2010","Total full-time Instruction/research/public service, Tenured, Assistant professors","4","4","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","-2"
"111188","California State University Maritime Academy","2010","Total full-time Instruction/research/public service, Tenured, Instructors","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","-2"
