"unitid","institution name","year","S2020_IS.Instructional staff category","S2020_IS.Grand total","S2020_IS.Grand total men","S2020_IS.Grand total women","S2020_IS.American Indian or Alaska Native total","S2020_IS.American Indian or Alaska Native men","S2020_IS.American Indian or Alaska Native women","S2020_IS.Asian total","S2020_IS.Asian men","S2020_IS.Asian women","S2020_IS.Black or African American total","S2020_IS.Black or African American men","S2020_IS.Black or African American women","S2020_IS.Hispanic or Latino total","S2020_IS.Hispanic or Latino men","S2020_IS.Hispanic or Latino women","S2020_IS.Native Hawaiian or Other Pacific Islander total","S2020_IS.Native Hawaiian or Other Pacific Islander men","S2020_IS.Native Hawaiian or Other Pacific Islander women","S2020_IS.White total","S2020_IS.White men","S2020_IS.White women","S2020_IS.Two or more races total","S2020_IS.Two or more races men","S2020_IS.Two or more races women","S2020_IS.Race/ethnicity unknown total","S2020_IS.Race/ethnicity unknown men","S2020_IS.Race/ethnicity unknown women","S2020_IS.Nonresident alien total","S2020_IS.Nonresident alien men","S2020_IS.Nonresident alien women","IDX_HR"
"110097","Biola University","2020","Tenured total","53","45","8","0","0","0","5","3","2","2","1","1","2","1","1","1","1","0","43","39","4","0","0","0","0","0","0","0","0","0","-2"
"110097","Biola University","2020","Tenured, professors","43","37","6","0","0","0","4","2","2","0","0","0","2","1","1","1","1","0","36","33","3","0","0","0","0","0","0","0","0","0","-2"
"110097","Biola University","2020","Tenured, associate professors","10","8","2","0","0","0","1","1","0","2","1","1","0","0","0","0","0","0","7","6","1","0","0","0","0","0","0","0","0","0","-2"
"110097","Biola University","2020","On-Tenure track total","159","81","78","2","0","2","27","12","15","6","4","2","8","4","4","0","0","0","96","51","45","0","0","0","19","10","9","1","0","1","-2"
"110097","Biola University","2020","On-tenure track, professors","12","11","1","0","0","0","4","3","1","0","0","0","1","1","0","0","0","0","5","5","0","0","0","0","2","2","0","0","0","0","-2"
"110097","Biola University","2020","On-tenure track, associate professors","94","45","49","2","0","2","13","4","9","4","3","1","6","2","4","0","0","0","59","31","28","0","0","0","10","5","5","0","0","0","-2"
"110097","Biola University","2020","On-tenure track, assistant professors","42","20","22","0","0","0","8","3","5","2","1","1","1","1","0","0","0","0","23","12","11","0","0","0","7","3","4","1","0","1","-2"
"110097","Biola University","2020","On-tenure track, instructors","11","5","6","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","9","3","6","0","0","0","0","0","0","0","0","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","Tenured total","466","315","151","3","2","1","55","36","19","6","5","1","27","18","9","0","0","0","350","235","115","4","3","1","19","14","5","2","2","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","Tenured, professors","320","228","92","1","1","0","38","24","14","4","4","0","17","12","5","0","0","0","244","174","70","3","3","0","13","10","3","0","0","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","Tenured, associate professors","144","85","59","2","1","1","17","12","5","2","1","1","10","6","4","0","0","0","104","59","45","1","0","1","6","4","2","2","2","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","Tenured, no academic rank","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","On-Tenure track total","206","109","97","1","1","0","21","10","11","10","5","5","6","3","3","0","0","0","130","70","60","3","1","2","16","8","8","19","11","8","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","On-tenure track, professors","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","0","0","0","0","0","0","0","0","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","On-tenure track, associate professors","21","13","8","0","0","0","3","3","0","1","1","0","2","0","2","0","0","0","14","9","5","0","0","0","1","0","1","0","0","0","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","On-tenure track, assistant professors","182","94","88","1","1","0","18","7","11","9","4","5","4","3","1","0","0","0","113","59","54","3","1","2","15","8","7","19","11","8","-2"
"110422","California Polytechnic State University-San Luis Obispo","2020","Not on tenure track/No tenure system system total","209","128","81","0","0","0","6","2","4","4","4","0","5","3","2","0","0","0","169","100","69","2","2","0","12","9","3","11","8","3","-2"
