"unitid","institution name","year","C2012_A.First or Second Major","C2012_A.CIP Code -  2010 Classification","CipTitle","C2012_A.Award Level code","C2012_A_RV.Program offered as a distance education program","C2012_A_RV.Grand total","C2012_A_RV.Grand total men","C2012_A_RV.Grand total women","C2012_A_RV.American Indian or Alaska Native total","C2012_A_RV.American Indian or Alaska Native men","C2012_A_RV.American Indian or Alaska Native women","C2012_A_RV.Asian total","C2012_A_RV.Asian men","C2012_A_RV.Asian women","C2012_A_RV.Black or African American total","C2012_A_RV.Black or African American men","C2012_A_RV.Black or African American women","C2012_A_RV.Hispanic or Latino total","C2012_A_RV.Hispanic or Latino men","C2012_A_RV.Hispanic or Latino women","C2012_A_RV.Native Hawaiian or Other Pacific Islander total","C2012_A_RV.Native Hawaiian or Other Pacific Islander men","C2012_A_RV.Native Hawaiian or Other Pacific Islander women","C2012_A_RV.White total","C2012_A_RV.White men","C2012_A_RV.White women","C2012_A_RV.Two or more races total","C2012_A_RV.Two or more races men","C2012_A_RV.Two or more races women","C2012_A_RV.Race/ethnicity unknown total","C2012_A_RV.Race/ethnicity unknown men","C2012_A_RV.Race/ethnicity unknown women","C2012_A_RV.Nonresident alien total","C2012_A_RV.Nonresident alien men","C2012_A_RV.Nonresident alien women","IDX_C"
"109350","Antelope Valley College","2012","First major","'40'","Physical Sciences","Associate's degree","Not applicable (2- and  4-digit cip or aggregated award level categories )","9","4","5","0","0","0","1","0","1","0","0","0","2","0","2","0","0","0","4","2","2","0","0","0","2","2","0","0","0","0","-2"
"109350","Antelope Valley College","2012","First major","'40'","Physical Sciences","Degrees total","Not applicable (2- and  4-digit cip or aggregated award level categories )","9","4","5","0","0","0","1","0","1","0","0","0","2","0","2","0","0","0","4","2","2","0","0","0","2","2","0","0","0","0","-2"
"109350","Antelope Valley College","2012","First major","'40'","Physical Sciences","Degrees/certificates total","Not applicable (2- and  4-digit cip or aggregated award level categories )","9","4","5","0","0","0","1","0","1","0","0","0","2","0","2","0","0","0","4","2","2","0","0","0","2","2","0","0","0","0","-2"
"109350","Antelope Valley College","2012","First major","'40.01'","Physical Sciences","Associate's degree","Not applicable (2- and  4-digit cip or aggregated award level categories )","9","4","5","0","0","0","1","0","1","0","0","0","2","0","2","0","0","0","4","2","2","0","0","0","2","2","0","0","0","0","-2"
"109350","Antelope Valley College","2012","First major","'40.01'","Physical Sciences","Degrees total","Not applicable (2- and  4-digit cip or aggregated award level categories )","9","4","5","0","0","0","1","0","1","0","0","0","2","0","2","0","0","0","4","2","2","0","0","0","2","2","0","0","0","0","-2"
"109350","Antelope Valley College","2012","First major","'40.01'","Physical Sciences","Degrees/certificates total","Not applicable (2- and  4-digit cip or aggregated award level categories )","9","4","5","0","0","0","1","0","1","0","0","0","2","0","2","0","0","0","4","2","2","0","0","0","2","2","0","0","0","0","-2"
"109350","Antelope Valley College","2012","First major","'40.0101'","Physical Sciences","Associate's degree","No","9","4","5","0","0","0","1","0","1","0","0","0","2","0","2","0","0","0","4","2","2","0","0","0","2","2","0","0","0","0","-2"
"109350","Antelope Valley College","2012","First major","'40.0101'","Physical Sciences","Degrees total","Not applicable (2- and  4-digit cip or aggregated award level categories )","9","4","5","0","0","0","1","0","1","0","0","0","2","0","2","0","0","0","4","2","2","0","0","0","2","2","0","0","0","0","-2"
"109350","Antelope Valley College","2012","First major","'40.0101'","Physical Sciences","Degrees/certificates total","Not applicable (2- and  4-digit cip or aggregated award level categories )","9","4","5","0","0","0","1","0","1","0","0","0","2","0","2","0","0","0","4","2","2","0","0","0","2","2","0","0","0","0","-2"
"109785","Azusa Pacific University","2012","First major","'40'","Physical Sciences","Bachelor's degree","Not applicable (2- and  4-digit cip or aggregated award level categories )","5","3","2","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","2","1","1","0","0","0","-2"
