"unitid","institution name","year","C2020_A.First or Second Major","C2020_A.CIP Code -  2020 Classification","CipTitle","C2020_A.Award Level code","C2020_A.Grand total","C2020_A.Grand total men","C2020_A.Grand total women","C2020_A.American Indian or Alaska Native total","C2020_A.American Indian or Alaska Native men","C2020_A.American Indian or Alaska Native women","C2020_A.Asian total","C2020_A.Asian men","C2020_A.Asian women","C2020_A.Black or African American total","C2020_A.Black or African American men","C2020_A.Black or African American women","C2020_A.Hispanic or Latino total","C2020_A.Hispanic or Latino men","C2020_A.Hispanic or Latino women","C2020_A.Native Hawaiian or Other Pacific Islander total","C2020_A.Native Hawaiian or Other Pacific Islander men","C2020_A.Native Hawaiian or Other Pacific Islander women","C2020_A.White total","C2020_A.White men","C2020_A.White women","C2020_A.Two or more races total","C2020_A.Two or more races men","C2020_A.Two or more races women","C2020_A.Race/ethnicity unknown total","C2020_A.Race/ethnicity unknown men","C2020_A.Race/ethnicity unknown women","C2020_A.Nonresident alien total","C2020_A.Nonresident alien men","C2020_A.Nonresident alien women","IDX_C"
"109350","Antelope Valley College","2020","First major","'40'","Physical Sciences","Associate's degree","75","52","23","0","0","0","12","8","4","3","1","2","35","27","8","0","0","0","21","14","7","4","2","2","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40'","Physical Sciences","Degrees total","75","52","23","0","0","0","12","8","4","3","1","2","35","27","8","0","0","0","21","14","7","4","2","2","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40'","Physical Sciences","Degrees/certificates total","75","52","23","0","0","0","12","8","4","3","1","2","35","27","8","0","0","0","21","14","7","4","2","2","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40.01'","Physical Sciences, General","Associate's degree","8","8","0","0","0","0","1","1","0","0","0","0","6","6","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40.01'","Physical Sciences, General","Degrees total","8","8","0","0","0","0","1","1","0","0","0","0","6","6","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40.01'","Physical Sciences, General","Degrees/certificates total","8","8","0","0","0","0","1","1","0","0","0","0","6","6","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40.0101'","Physical Sciences, General","Associate's degree","8","8","0","0","0","0","1","1","0","0","0","0","6","6","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40.0101'","Physical Sciences, General","Degrees total","8","8","0","0","0","0","1","1","0","0","0","0","6","6","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40.0101'","Physical Sciences, General","Degrees/certificates total","8","8","0","0","0","0","1","1","0","0","0","0","6","6","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40.05'","Chemistry","Associate's degree","19","8","11","0","0","0","5","3","2","2","0","2","7","4","3","0","0","0","3","1","2","2","0","2","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40.05'","Chemistry","Degrees total","19","8","11","0","0","0","5","3","2","2","0","2","7","4","3","0","0","0","3","1","2","2","0","2","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40.05'","Chemistry","Degrees/certificates total","19","8","11","0","0","0","5","3","2","2","0","2","7","4","3","0","0","0","3","1","2","2","0","2","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40.0501'","Chemistry, General","Associate's degree","19","8","11","0","0","0","5","3","2","2","0","2","7","4","3","0","0","0","3","1","2","2","0","2","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40.0501'","Chemistry, General","Degrees total","19","8","11","0","0","0","5","3","2","2","0","2","7","4","3","0","0","0","3","1","2","2","0","2","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40.0501'","Chemistry, General","Degrees/certificates total","19","8","11","0","0","0","5","3","2","2","0","2","7","4","3","0","0","0","3","1","2","2","0","2","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40.06'","Geological and Earth Sciences/Geosciences","Associate's degree","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40.06'","Geological and Earth Sciences/Geosciences","Degrees total","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40.06'","Geological and Earth Sciences/Geosciences","Degrees/certificates total","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40.0601'","Geology/Earth Science, General","Associate's degree","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40.0601'","Geology/Earth Science, General","Degrees total","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40.0601'","Geology/Earth Science, General","Degrees/certificates total","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40.08'","Physics","Associate's degree","47","35","12","0","0","0","6","4","2","1","1","0","22","17","5","0","0","0","16","11","5","2","2","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40.08'","Physics","Degrees total","47","35","12","0","0","0","6","4","2","1","1","0","22","17","5","0","0","0","16","11","5","2","2","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40.08'","Physics","Degrees/certificates total","47","35","12","0","0","0","6","4","2","1","1","0","22","17","5","0","0","0","16","11","5","2","2","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2020","First major","'40.0801'","Physics, General","Associate's degree","47","35","12","0","0","0","6","4","2","1","1","0","22","17","5","0","0","0","16","11","5","2","2","0","0","0","0","0","0","0","-2"
