"unitid","institution name","year","S2009_f.Tenure status and academic rank of full-time instruction/research/public service staff","S2009_f_RV.Grand total","S2009_f_RV.Grand total men","S2009_f_RV.Grand total women","S2009_f_RV.American Indian or Alaska Native total - derived","S2009_f_RV.American Indian or Alaska Native men - derived","S2009_f_RV.American Indian or Alaska Native women - derived","S2009_f_RV.Asian/Native Hawaiian/Other Pacific Islander total - derived","S2009_f_RV.Asian/Native Hawaiian/Other Pacific Islander men - derived","S2009_f_RV.Asian/Native Hawaiian/Other Pacific Islander women - derived","S2009_f_RV.Black or African American/Black non-Hispanic total - derived","S2009_f_RV.Black or African American/Black non-Hispanic men - derived","S2009_f_RV.Black or African American/Black non-Hispanic women - derived","S2009_f_RV.Hispanic or Latino/Hispanic total - derived","S2009_f_RV.Hispanic or Latino/Hispanic men - derived","S2009_f_RV.Hispanic or Latino/Hispanic women - derived","S2009_f_RV.White/White non-Hispanic total - derived","S2009_f_RV.White/White non-Hispanic men - derived","S2009_f_RV.White/White non-Hispanic women - derived","S2009_f_RV.American Indian or Alaska Native total - new","S2009_f_RV.American Indian or Alaska Native men - new","S2009_f_RV.American Indian or Alaska Native women - new","S2009_f_RV.Asian total - new","S2009_f_RV.Asian men - new","S2009_f_RV.Asian women - new","S2009_f_RV.Black or African American total - new","S2009_f_RV.Black or African American men - new","S2009_f_RV.Black or African American women - new","S2009_f_RV.Hispanic or Latino total - new","S2009_f_RV.Hispanic or Latino men - new","S2009_f_RV.Hispanic or Latino women - new","S2009_f_RV.Native Hawaiian or Other Pacific Islander total - new","S2009_f_RV.Native Hawaiian or Other Pacific Islander men - new","S2009_f_RV.Native Hawaiian or Other Pacific Islander women - new","S2009_f_RV.White total - new","S2009_f_RV.White men - new","S2009_f_RV.White women - new","S2009_f_RV.Two or more races total - new","S2009_f_RV.Two or more races men - new","S2009_f_RV.Two or more races women - new","S2009_f_RV.American Indian or Alaska Native total - old","S2009_f_RV.American Indian or Alaska Native men - old","S2009_f_RV.American Indian or Alaska Native women - old","S2009_f_RV.Asian or Pacific Islander total - old","S2009_f_RV.Asian or Pacific Islander men - old","S2009_f_RV.Asian or Pacific Islander women - old","S2009_f_RV.White non-Hispanic women - old","S2009_f_RV.Black non-Hispanic  total  - old","S2009_f_RV.Black non-Hispanic men - old","S2009_f_RV.Black non-Hispanic women - old","S2009_f_RV.Hispanic total - old","S2009_f_RV.Hispanic men - old","S2009_f_RV.Hispanic women - old","S2009_f_RV.White non-Hispanic total  - old","S2009_f_RV.White non-Hispanic men  - old","S2009_f_RV.Race/ethnicity unknown total","S2009_f_RV.Race/ethnicity unknown men","S2009_f_RV.Race/ethnicity unknown women","S2009_f_RV.Nonresident alien total","S2009_f_RV.Nonresident alien men","S2009_f_RV.Nonresident alien women","IDX_HR"
"104188","Southwest University of Visual Arts-Tucson","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track, No academic rank","12","7","5","0","0","0","0","0","0","0","0","0","1","1","0","11","6","5",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","5","0","0","0","1","1","0","11","6","0","0","0","0","0","0","-2"
"104188","Southwest University of Visual Arts-Tucson","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track total","12","7","5","0","0","0","0","0","0","0","0","0","1","1","0","11","6","5",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","5","0","0","0","1","1","0","11","6","0","0","0","0","0","0","-2"
"105367","Ottawa University-Phoenix","2009","Total full-time Instruction/research/public service, Tenured, Associate professors","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0","4","2","2",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","2","0","0","0","0","0","0","4","2","0","0","0","0","0","0","-2"
"105367","Ottawa University-Phoenix","2009","Total full-time Instruction/research/public service, Tenured, Assistant professors","2","0","2","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1",,,,,,,,,,,,,,,,,,,,,,"0","0","0","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","-2"
"105367","Ottawa University-Phoenix","2009","Total full-time Instruction/research/public service, Tenured total","6","2","4","0","0","0","1","0","1","0","0","0","0","0","0","5","2","3",,,,,,,,,,,,,,,,,,,,,,"0","0","0","1","0","1","3","0","0","0","0","0","0","5","2","0","0","0","0","0","0","-2"
"105367","Ottawa University-Phoenix","2009","Total full-time Instruction/research/public service, Non-tenured on tenure track, Assistant professors","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","-2"
"105367","Ottawa University-Phoenix","2009","Total full-time Instruction/research/public service, Non-tenured on tenure track total","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","-2"
"105367","Ottawa University-Phoenix","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Assistant professors","2","0","2","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","0","0","0","0","0","0","-2"
"105367","Ottawa University-Phoenix","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track total","2","0","2","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2009","Total full-time Instruction/research/public service, Tenured, Professors","43","20","23","0","0","0","5","4","1","8","3","5","11","6","5","17","7","10","0","0","0","5","4","1","8","3","5","11","6","5","0","0","0","17","7","10","0","0","0",,,,,,,,,,,,,,,,"0","0","0","2","0","2","-2"
