"unitid","institution name","year","S2010_F.Tenure status and academic rank of full-time instruction/research/public service staff","S2010_F_RV.Grand total","S2010_F_RV.Grand total men","S2010_F_RV.Grand total women","S2010_F_RV.American Indian or Alaska Native total","S2010_F_RV.American Indian or Alaska Native men","S2010_F_RV.American Indian or Alaska Native women","S2010_F_RV.Asian total","S2010_F_RV.Asian men","S2010_F_RV.Asian women","S2010_F_RV.Black or African American total","S2010_F_RV.Black or African American men","S2010_F_RV.Black or African American women","S2010_F_RV.Hispanic or Latino total","S2010_F_RV.Hispanic or Latino men","S2010_F_RV.Hispanic or Latino women","S2010_F_RV.Native Hawaiian or Other Pacific Islander total","S2010_F_RV.Native Hawaiian or Other Pacific Islander men","S2010_F_RV.Native Hawaiian or Other Pacific Islander women","S2010_F_RV.White total","S2010_F_RV.White men","S2010_F_RV.White women","S2010_F_RV.Two or more races total","S2010_F_RV.Two or more races men","S2010_F_RV.Two or more races women","S2010_F_RV.Race/ethnicity unknown total","S2010_F_RV.Race/ethnicity unknown men","S2010_F_RV.Race/ethnicity unknown women","S2010_F_RV.Nonresident alien total","S2010_F_RV.Nonresident alien men","S2010_F_RV.Nonresident alien women","IDX_HR"
"109350","Antelope Valley College","2010","Total full-time Instruction/research/public service, Tenured, Professors","71","31","40","0","0","0","2","1","1","6","2","4","2","0","2","0","0","0","59","27","32","0","0","0","2","1","1","0","0","0","-2"
"109350","Antelope Valley College","2010","Total full-time Instruction/research/public service, Tenured, Associate professors","21","13","8","0","0","0","2","1","1","0","0","0","4","4","0","0","0","0","14","7","7","0","0","0","1","1","0","0","0","0","-2"
"109350","Antelope Valley College","2010","Total full-time Instruction/research/public service, Tenured, Assistant professors","8","0","8","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","7","0","7","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2010","Total full-time Instruction/research/public service, Tenured, Instructors","50","31","19","0","0","0","2","2","0","4","2","2","5","2","3","0","0","0","36","24","12","0","0","0","3","1","2","0","0","0","-2"
"109350","Antelope Valley College","2010","Total full-time Instruction/research/public service, Tenured total","150","75","75","0","0","0","6","4","2","10","4","6","12","6","6","0","0","0","116","58","58","0","0","0","6","3","3","0","0","0","-2"
"109350","Antelope Valley College","2010","Total full-time Instruction/research/public service, Non-tenured on tenure track, Professors","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2010","Total full-time Instruction/research/public service, Non-tenured on tenure track, Associate professors","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2010","Total full-time Instruction/research/public service, Non-tenured on tenure track, Assistant professors","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2010","Total full-time Instruction/research/public service, Non-tenured on tenure track, Instructors","25","13","12","0","0","0","2","2","0","2","1","1","2","2","0","0","0","0","19","8","11","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2010","Total full-time Instruction/research/public service, Non-tenured on tenure track total","31","17","14","1","1","0","2","2","0","2","1","1","2","2","0","0","0","0","24","11","13","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2010","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Instructors","2","1","1","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2010","Total full-time Instruction/research/public service, Non-tenured not on tenure track total","2","1","1","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2010","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Professors","102","60","42","0","0","0","10","5","5","5","3","2","4","2","2","0","0","0","82","50","32","0","0","0","1","0","1","0","0","0","-2"
"109785","Azusa Pacific University","2010","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Associate professors","110","68","42","1","0","1","16","12","4","7","5","2","6","4","2","0","0","0","79","47","32","0","0","0","1","0","1","0","0","0","-2"
"109785","Azusa Pacific University","2010","Total full-time Instruction/research/public servicey, Non-tenured not on tenure track, Assistant professors","115","41","74","0","0","0","12","4","8","11","2","9","12","5","7","0","0","0","76","29","47","0","0","0","4","1","3","0","0","0","-2"
"109785","Azusa Pacific University","2010","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Instructors","16","3","13","0","0","0","3","1","2","1","0","1","0","0","0","0","0","0","12","2","10","0","0","0","0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2010","Total full-time Instruction/research/public service, Non-tenured not on tenure track total","343","172","171","1","0","1","41","22","19","24","10","14","22","11","11","0","0","0","249","128","121","0","0","0","6","1","5","0","0","0","-2"
"109819","Bakersfield College","2010","Total full-time Instruction/research/public service, Tenured, Instructors","202","104","98","1","0","1","6","2","4","12","6","6","21","9","12","1","1","0","150","82","68","0","0","0","11","4","7","0","0","0","-2"
"109819","Bakersfield College","2010","Total full-time Instruction/research/public service, Tenured total","202","104","98","1","0","1","6","2","4","12","6","6","21","9","12","1","1","0","150","82","68","0","0","0","11","4","7","0","0","0","-2"
"109819","Bakersfield College","2010","Total full-time Instruction/research/public service, Non-tenured on tenure track, Instructors","49","23","26","1","1","0","1","1","0","1","1","0","4","3","1","0","0","0","41","17","24","0","0","0","1","0","1","0","0","0","-2"
"109819","Bakersfield College","2010","Total full-time Instruction/research/public service, Non-tenured on tenure track total","49","23","26","1","1","0","1","1","0","1","1","0","4","3","1","0","0","0","41","17","24","0","0","0","1","0","1","0","0","0","-2"
"109819","Bakersfield College","2010","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Instructors","6","3","3","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","4","2","2","0","0","0","1","0","1","0","0","0","-2"
"109819","Bakersfield College","2010","Total full-time Instruction/research/public service, Non-tenured not on tenure track total","6","3","3","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","4","2","2","0","0","0","1","0","1","0","0","0","-2"
"110413","California Lutheran University","2010","Total full-time Instruction/research/public service, Tenured, Professors","46","31","15","1","1","0","5","3","2","1","1","0","1","1","0","0","0","0","37","24","13","0","0","0","0","0","0","1","1","0","-2"
"110413","California Lutheran University","2010","Total full-time Instruction/research/public service, Tenured, Associate professors","25","10","15","0","0","0","2","0","2","2","1","1","2","1","1","0","0","0","18","8","10","0","0","0","0","0","0","1","0","1","-2"
"110413","California Lutheran University","2010","Total full-time Instruction/research/public service, Tenured, Assistant professors","2","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2010","Total full-time Instruction/research/public service, Tenured total","73","42","31","1","1","0","7","3","4","3","2","1","4","3","1","0","0","0","56","32","24","0","0","0","0","0","0","2","1","1","-2"
