"unitid","institution name","year","S2012_IS.Instructional staff category","S2012_IS_RV.Grand total","S2012_IS_RV.Grand total men","S2012_IS_RV.Grand total women","S2012_IS_RV.American Indian or Alaska Native total","S2012_IS_RV.American Indian or Alaska Native men","S2012_IS_RV.American Indian or Alaska Native women","S2012_IS_RV.Asian total","S2012_IS_RV.Asian men","S2012_IS_RV.Asian women","S2012_IS_RV.Black or African American total","S2012_IS_RV.Black or African American men","S2012_IS_RV.Black or African American women","S2012_IS_RV.Hispanic or Latino total","S2012_IS_RV.Hispanic or Latino men","S2012_IS_RV.Hispanic or Latino women","S2012_IS_RV.Native Hawaiian or Other Pacific Islander total","S2012_IS_RV.Native Hawaiian or Other Pacific Islander men","S2012_IS_RV.Native Hawaiian or Other Pacific Islander women","S2012_IS_RV.White total","S2012_IS_RV.White men","S2012_IS_RV.White women","S2012_IS_RV.Two or more races total","S2012_IS_RV.Two or more races men","S2012_IS_RV.Two or more races women","S2012_IS_RV.Race/ethnicity unknown total","S2012_IS_RV.Race/ethnicity unknown men","S2012_IS_RV.Race/ethnicity unknown women","S2012_IS_RV.Nonresident alien total","S2012_IS_RV.Nonresident alien men","S2012_IS_RV.Nonresident alien women","IDX_HR"
"105367","Ottawa University-Phoenix","2012","Tenured total","3","0","3","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","-2"
"105367","Ottawa University-Phoenix","2012","Tenured, professors","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
"105367","Ottawa University-Phoenix","2012","Tenured, associate professors","2","0","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2012","Not on tenure track/No tenure system system total","407","196","211","3","1","2","51","22","29","26","12","14","25","9","16","3","2","1","271","133","138","1","0","1","21","15","6","6","2","4","-2"
"109785","Azusa Pacific University","2012","Not on tenure/no tenure system, professors","144","88","56","0","0","0","15","8","7","10","8","2","6","3","3","0","0","0","105","64","41","1","0","1","7","5","2","0","0","0","-2"
"109785","Azusa Pacific University","2012","Not on tenure/no tenure system, associate professors","114","62","52","1","0","1","17","10","7","12","4","8","4","3","1","1","0","1","73","39","34","0","0","0","5","5","0","1","1","0","-2"
"109785","Azusa Pacific University","2012","Not on tenure/no tenure system, assistant professors","138","45","93","2","1","1","18","4","14","4","0","4","15","3","12","2","2","0","84","29","55","0","0","0","9","5","4","4","1","3","-2"
"109785","Azusa Pacific University","2012","Not on tenure/no tenure system, instructors","11","1","10","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","9","1","8","0","0","0","0","0","0","1","0","1","-2"
"109819","Bakersfield College","2012","Tenured total","197","103","94","1","0","1","6","2","4","9","4","5","22","10","12","1","1","0","148","82","66","0","0","0","10","4","6","0","0","0","-2"
"109819","Bakersfield College","2012","Tenured, instructors","197","103","94","1","0","1","6","2","4","9","4","5","22","10","12","1","1","0","148","82","66","0","0","0","10","4","6","0","0","0","-2"
"109819","Bakersfield College","2012","On-Tenure track total","54","26","28","1","1","0","3","3","0","1","1","0","3","2","1","0","0","0","43","18","25","0","0","0","3","1","2","0","0","0","-2"
"109819","Bakersfield College","2012","On-tenure track, instructors","54","26","28","1","1","0","3","3","0","1","1","0","3","2","1","0","0","0","43","18","25","0","0","0","3","1","2","0","0","0","-2"
"109819","Bakersfield College","2012","Not on tenure track/No tenure system system total","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
"109819","Bakersfield College","2012","Not on tenure/no tenure system, instructors","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2012","Tenured total","77","44","33","1","1","0","9","3","6","3","2","1","3","2","1","0","0","0","61","36","25","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2012","Tenured, professors","42","27","15","1","1","0","5","3","2","1","1","0","0","0","0","0","0","0","35","22","13","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2012","Tenured, associate professors","31","15","16","0","0","0","4","0","4","2","1","1","2","1","1","0","0","0","23","13","10","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2012","Tenured, assistant professors","4","2","2","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","3","1","2","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2012","On-Tenure track total","42","24","18","0","0","0","2","2","0","3","0","3","7","3","4","0","0","0","29","18","11","1","1","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2012","On-tenure track, professors","4","4","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2012","On-tenure track, associate professors","4","1","3","0","0","0","0","0","0","2","0","2","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2012","On-tenure track, assistant professors","32","17","15","0","0","0","2","2","0","1","0","1","5","1","4","0","0","0","23","13","10","1","1","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2012","On-tenure track, instructors","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2012","Not on tenure track/No tenure system system total","44","19","25","0","0","0","2","0","2","0","0","0","3","0","3","0","0","0","39","19","20","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2012","Not on tenure/no tenure system, professors","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","2","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2012","Not on tenure/no tenure system, associate professors","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2012","Not on tenure/no tenure system, assistant professors","8","1","7","0","0","0","1","0","1","0","0","0","2","0","2","0","0","0","5","1","4","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2012","Not on tenure/no tenure system, instructors","5","4","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2012","Not on tenure/no tenure system, lecturers","24","10","14","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","23","10","13","0","0","0","0","0","0","0","0","0","-2"
"110486","California State University-Bakersfield","2012","Tenured total","145","85","60","0","0","0","20","15","5","9","4","5","15","10","5","1","1","0","92","49","43","2","1","1","1","1","0","5","4","1","-2"
"110486","California State University-Bakersfield","2012","Tenured, professors","82","57","25","0","0","0","13","11","2","6","3","3","9","7","2","1","1","0","51","33","18","1","1","0","0","0","0","1","1","0","-2"
"110486","California State University-Bakersfield","2012","Tenured, associate professors","61","27","34","0","0","0","6","3","3","3","1","2","6","3","3","0","0","0","40","16","24","1","0","1","1","1","0","4","3","1","-2"
