"unitid","institution name","year","S2009_f.Tenure status and academic rank of full-time instruction/research/public service staff","S2009_f_RV.Grand total","S2009_f_RV.Grand total men","S2009_f_RV.Grand total women","S2009_f_RV.American Indian or Alaska Native total - derived","S2009_f_RV.American Indian or Alaska Native men - derived","S2009_f_RV.American Indian or Alaska Native women - derived","S2009_f_RV.Asian/Native Hawaiian/Other Pacific Islander total - derived","S2009_f_RV.Asian/Native Hawaiian/Other Pacific Islander men - derived","S2009_f_RV.Asian/Native Hawaiian/Other Pacific Islander women - derived","S2009_f_RV.Black or African American/Black non-Hispanic total - derived","S2009_f_RV.Black or African American/Black non-Hispanic men - derived","S2009_f_RV.Black or African American/Black non-Hispanic women - derived","S2009_f_RV.Hispanic or Latino/Hispanic total - derived","S2009_f_RV.Hispanic or Latino/Hispanic men - derived","S2009_f_RV.Hispanic or Latino/Hispanic women - derived","S2009_f_RV.White/White non-Hispanic total - derived","S2009_f_RV.White/White non-Hispanic men - derived","S2009_f_RV.White/White non-Hispanic women - derived","S2009_f_RV.American Indian or Alaska Native total - new","S2009_f_RV.American Indian or Alaska Native men - new","S2009_f_RV.American Indian or Alaska Native women - new","S2009_f_RV.Asian total - new","S2009_f_RV.Asian men - new","S2009_f_RV.Asian women - new","S2009_f_RV.Black or African American total - new","S2009_f_RV.Black or African American men - new","S2009_f_RV.Black or African American women - new","S2009_f_RV.Hispanic or Latino total - new","S2009_f_RV.Hispanic or Latino men - new","S2009_f_RV.Hispanic or Latino women - new","S2009_f_RV.Native Hawaiian or Other Pacific Islander total - new","S2009_f_RV.Native Hawaiian or Other Pacific Islander men - new","S2009_f_RV.Native Hawaiian or Other Pacific Islander women - new","S2009_f_RV.White total - new","S2009_f_RV.White men - new","S2009_f_RV.White women - new","S2009_f_RV.Two or more races total - new","S2009_f_RV.Two or more races men - new","S2009_f_RV.Two or more races women - new","S2009_f_RV.American Indian or Alaska Native total - old","S2009_f_RV.American Indian or Alaska Native men - old","S2009_f_RV.American Indian or Alaska Native women - old","S2009_f_RV.Asian or Pacific Islander total - old","S2009_f_RV.Asian or Pacific Islander men - old","S2009_f_RV.Asian or Pacific Islander women - old","S2009_f_RV.White non-Hispanic women - old","S2009_f_RV.Black non-Hispanic  total  - old","S2009_f_RV.Black non-Hispanic men - old","S2009_f_RV.Black non-Hispanic women - old","S2009_f_RV.Hispanic total - old","S2009_f_RV.Hispanic men - old","S2009_f_RV.Hispanic women - old","S2009_f_RV.White non-Hispanic total  - old","S2009_f_RV.White non-Hispanic men  - old","S2009_f_RV.Race/ethnicity unknown total","S2009_f_RV.Race/ethnicity unknown men","S2009_f_RV.Race/ethnicity unknown women","S2009_f_RV.Nonresident alien total","S2009_f_RV.Nonresident alien men","S2009_f_RV.Nonresident alien women","IDX_HR"
"100654","Alabama A & M University","2009","Total full-time Instruction/research/public service, Tenured, Professors","44","31","13","0","0","0","10","8","2","19","13","6","0","0","0","9","4","5",,,,,,,,,,,,,,,,,,,,,,"0","0","0","10","8","2","5","19","13","6","0","0","0","9","4","0","0","0","6","6","0","-2"
"100654","Alabama A & M University","2009","Total full-time Instruction/research/public service, Tenured, Associate professors","38","30","8","0","0","0","5","3","2","20","16","4","0","0","0","10","8","2",,,,,,,,,,,,,,,,,,,,,,"0","0","0","5","3","2","2","20","16","4","0","0","0","10","8","0","0","0","3","3","0","-2"
"100654","Alabama A & M University","2009","Total full-time Instruction/research/public service, Tenured, Assistant professors","43","27","16","0","0","0","4","2","2","27","16","11","0","0","0","8","7","1",,,,,,,,,,,,,,,,,,,,,,"0","0","0","4","2","2","1","27","16","11","0","0","0","8","7","0","0","0","4","2","2","-2"
"100654","Alabama A & M University","2009","Total full-time Instruction/research/public service, Tenured, Instructors","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2009","Total full-time Instruction/research/public service, Tenured total","126","89","37","0","0","0","19","13","6","67","46","21","0","0","0","27","19","8",,,,,,,,,,,,,,,,,,,,,,"0","0","0","19","13","6","8","67","46","21","0","0","0","27","19","0","0","0","13","11","2","-2"
"100654","Alabama A & M University","2009","Total full-time Instruction/research/public service, Non-tenured on tenure track, Professors","7","6","1","0","0","0","2","2","0","4","3","1","0","0","0","1","1","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","2","2","0","0","4","3","1","0","0","0","1","1","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2009","Total full-time Instruction/research/public service, Non-tenured on tenure track, Associate professors","19","11","8","0","0","0","9","7","2","8","4","4","0","0","0","2","0","2",,,,,,,,,,,,,,,,,,,,,,"0","0","0","9","7","2","2","8","4","4","0","0","0","2","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2009","Total full-time Instruction/research/public service, Non-tenured on tenure track, Assistant professors","37","19","18","0","0","0","9","6","3","20","9","11","0","0","0","8","4","4",,,,,,,,,,,,,,,,,,,,,,"0","0","0","9","6","3","4","20","9","11","0","0","0","8","4","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2009","Total full-time Instruction/research/public service, Non-tenured on tenure track, Instructors","7","3","4","0","0","0","1","1","0","5","2","3","0","0","0","1","0","1",,,,,,,,,,,,,,,,,,,,,,"0","0","0","1","1","0","1","5","2","3","0","0","0","1","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2009","Total full-time Instruction/research/public service, Non-tenured on tenure track total","70","39","31","0","0","0","21","16","5","37","18","19","0","0","0","12","5","7",,,,,,,,,,,,,,,,,,,,,,"0","0","0","21","16","5","7","37","18","19","0","0","0","12","5","0","0","0","0","0","0","-2"
