"unitid","institution name","year","S2010_F.Tenure status and academic rank of full-time instruction/research/public service staff","S2010_F_RV.Grand total","S2010_F_RV.Grand total men","S2010_F_RV.Grand total women","S2010_F_RV.American Indian or Alaska Native total","S2010_F_RV.American Indian or Alaska Native men","S2010_F_RV.American Indian or Alaska Native women","S2010_F_RV.Asian total","S2010_F_RV.Asian men","S2010_F_RV.Asian women","S2010_F_RV.Black or African American total","S2010_F_RV.Black or African American men","S2010_F_RV.Black or African American women","S2010_F_RV.Hispanic or Latino total","S2010_F_RV.Hispanic or Latino men","S2010_F_RV.Hispanic or Latino women","S2010_F_RV.Native Hawaiian or Other Pacific Islander total","S2010_F_RV.Native Hawaiian or Other Pacific Islander men","S2010_F_RV.Native Hawaiian or Other Pacific Islander women","S2010_F_RV.White total","S2010_F_RV.White men","S2010_F_RV.White women","S2010_F_RV.Two or more races total","S2010_F_RV.Two or more races men","S2010_F_RV.Two or more races women","S2010_F_RV.Race/ethnicity unknown total","S2010_F_RV.Race/ethnicity unknown men","S2010_F_RV.Race/ethnicity unknown women","S2010_F_RV.Nonresident alien total","S2010_F_RV.Nonresident alien men","S2010_F_RV.Nonresident alien women","IDX_HR"
"100706","University of Alabama in Huntsville","2010","Total full-time Instruction/research/public service, Tenured, Professors","76","67","9","0","0","0","12","12","0","0","0","0","2","2","0","0","0","0","62","53","9","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2010","Total full-time Instruction/research/public service, Tenured, Associate professors","75","49","26","0","0","0","15","14","1","7","4","3","0","0","0","0","0","0","53","31","22","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2010","Total full-time Instruction/research/public service, Tenured, Assistant professors","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2010","Total full-time Instruction/research/public service, Tenured total","152","116","36","0","0","0","27","26","1","7","4","3","3","2","1","0","0","0","115","84","31","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2010","Total full-time Instruction/research/public service, Non-tenured on tenure track, Associate professors","10","7","3","0","0","0","3","3","0","1","0","1","0","0","0","0","0","0","6","4","2","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2010","Total full-time Instruction/research/public service, Non-tenured on tenure track, Assistant professors","59","42","17","0","0","0","11","10","1","3","1","2","2","1","1","0","0","0","41","28","13","0","0","0","0","0","0","2","2","0","-2"
"100706","University of Alabama in Huntsville","2010","Total full-time Instruction/research/public service, Non-tenured on tenure track total","69","49","20","0","0","0","14","13","1","4","1","3","2","1","1","0","0","0","47","32","15","0","0","0","0","0","0","2","2","0","-2"
"100706","University of Alabama in Huntsville","2010","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Professors","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2010","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Associate professors","10","6","4","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","8","5","3","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2010","Total full-time Instruction/research/public servicey, Non-tenured not on tenure track, Assistant professors","26","7","19","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0","23","6","17","0","0","0","0","0","0","1","1","0","-2"
"100706","University of Alabama in Huntsville","2010","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Instructors","13","2","11","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","11","2","9","0","0","0","0","0","0","0","0","0","-2"
"100706","University of Alabama in Huntsville","2010","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Lecturers","40","16","24","0","0","0","3","1","2","2","1","1","0","0","0","0","0","0","34","13","21","0","0","0","0","0","0","1","1","0","-2"
"100706","University of Alabama in Huntsville","2010","Total full-time Instruction/research/public service, Non-tenured not on tenure track total","91","33","58","0","0","0","4","2","2","5","1","4","2","0","2","0","0","0","78","28","50","0","0","0","0","0","0","2","2","0","-2"
"100751","The University of Alabama","2010","Total full-time Instruction/research/public service, Tenured, Professors","313","237","76","0","0","0","26","24","2","12","7","5","5","4","1","0","0","0","269","202","67","0","0","0","0","0","0","1","0","1","-2"
"100751","The University of Alabama","2010","Total full-time Instruction/research/public service, Tenured, Associate professors","258","158","100","0","0","0","10","8","2","20","5","15","5","3","2","0","0","0","219","139","80","0","0","0","0","0","0","4","3","1","-2"
"100751","The University of Alabama","2010","Total full-time Instruction/research/public service, Tenured, Assistant professors","12","3","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","3","8","0","0","0","0","0","0","1","0","1","-2"
