"unitid","institution name","year","S2019_IS.Instructional staff category","S2019_IS.Grand total","S2019_IS.Grand total men","S2019_IS.Grand total women","S2019_IS.American Indian or Alaska Native total","S2019_IS.American Indian or Alaska Native men","S2019_IS.American Indian or Alaska Native women","S2019_IS.Asian total","S2019_IS.Asian men","S2019_IS.Asian women","S2019_IS.Black or African American total","S2019_IS.Black or African American men","S2019_IS.Black or African American women","S2019_IS.Hispanic or Latino total","S2019_IS.Hispanic or Latino men","S2019_IS.Hispanic or Latino women","S2019_IS.Native Hawaiian or Other Pacific Islander total","S2019_IS.Native Hawaiian or Other Pacific Islander men","S2019_IS.Native Hawaiian or Other Pacific Islander women","S2019_IS.White total","S2019_IS.White men","S2019_IS.White women","S2019_IS.Two or more races total","S2019_IS.Two or more races men","S2019_IS.Two or more races women","S2019_IS.Race/ethnicity unknown total","S2019_IS.Race/ethnicity unknown men","S2019_IS.Race/ethnicity unknown women","S2019_IS.Nonresident alien total","S2019_IS.Nonresident alien men","S2019_IS.Nonresident alien women","IDX_HR"
"100654","Alabama A & M University","2019","Tenured total","99","68","31","0","0","0","13","8","5","75","54","21","0","0","0","0","0","0","6","2","4","1","0","1","0","0","0","4","4","0","-2"
"100654","Alabama A & M University","2019","Tenured, professors","49","37","12","0","0","0","8","6","2","35","27","8","0","0","0","0","0","0","3","2","1","1","0","1","0","0","0","2","2","0","-2"
"100654","Alabama A & M University","2019","Tenured, associate professors","32","22","10","0","0","0","5","2","3","24","18","6","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","2","2","0","-2"
"100654","Alabama A & M University","2019","Tenured, assistant professors","18","9","9","0","0","0","0","0","0","16","9","7","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2019","On-Tenure track total","39","16","23","0","0","0","8","5","3","19","5","14","0","0","0","0","0","0","6","4","2","0","0","0","0","0","0","6","2","4","-2"
"100654","Alabama A & M University","2019","On-tenure track, associate professors","9","5","4","0","0","0","5","4","1","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","2","0","2","-2"
"100654","Alabama A & M University","2019","On-tenure track, assistant professors","30","11","19","0","0","0","3","1","2","18","4","14","0","0","0","0","0","0","5","4","1","0","0","0","0","0","0","4","2","2","-2"
"100654","Alabama A & M University","2019","Not on tenure track/No tenure system system total","104","47","57","1","0","1","4","2","2","68","28","40","0","0","0","0","0","0","22","10","12","1","0","1","0","0","0","8","7","1","-2"
"100654","Alabama A & M University","2019","Not on tenure/no tenure system, associate professors","9","7","2","0","0","0","1","0","1","6","5","1","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","-2"
"100654","Alabama A & M University","2019","Not on tenure/no tenure system, assistant professors","50","26","24","0","0","0","2","2","0","31","14","17","0","0","0","0","0","0","12","7","5","1","0","1","0","0","0","4","3","1","-2"
